seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped,method
0,1000,-500.0,0.0,0.0067846666179248,1.0984971219301225,1000,True,False,Automatic stopping
0,2000,-500.0,0.0,0.0040667978135024,1.092840451002121,2000,True,False,Automatic stopping
0,3000,-500.0,0.0,0.0016919638733088,1.0927387411594391,3000,True,False,Automatic stopping
0,4000,-429.6,140.8,0.0027469711007579,1.0837231993675231,4000,True,False,Automatic stopping
0,5000,-160.0,22.154006409676786,0.0032669711115886,1.07171024787426,5000,True,False,Automatic stopping
0,6000,-152.6,26.12738027434056,0.0021131374289034,1.0357418032288552,6000,True,False,Automatic stopping
0,7000,-304.8,165.20823224040623,0.0017113603018224,0.9986090524792672,7000,True,False,Automatic stopping
0,8000,-221.6,139.31633070103447,0.0016111238045559,0.9601220288872718,8000,True,False,Automatic stopping
0,9000,-159.0,11.436782764396638,0.001919864844458,0.967885159611702,9000,True,False,Automatic stopping
0,10000,-364.6,165.86693461929053,0.0018188119957776,0.9299308121800424,10000,True,False,Automatic stopping
0,11000,-203.4,148.82284770827363,0.0012747627972275,0.8741848548352719,11000,True,False,Automatic stopping
0,12000,-126.8,9.3893556754444,0.0016062469042808,0.8646443293690681,12000,True,False,Automatic stopping
0,13000,-92.4,9.520504188329523,0.0016222519662333,0.8768623131811619,13000,True,False,Automatic stopping
0,14000,-252.0,202.76192936545067,0.0012422650234439,0.8329338849186897,14000,True,False,Automatic stopping
0,15000,-189.4,156.62643455049346,0.001056768516406,0.8115963217318058,15000,True,False,Automatic stopping
0,16000,-86.8,10.59056183589898,0.0021383274052204,0.7929096487760544,16000,True,False,Automatic stopping
0,17000,-168.0,166.03975427589623,0.001231118136493,0.7153889033794403,17000,True,False,Automatic stopping
0,18000,-86.0,11.081516141756056,0.0013358349470508,0.697215257331729,18000,True,False,Automatic stopping
0,19000,-105.6,21.443880245888337,0.0008803649969777,0.7021738803386688,19000,True,False,Automatic stopping
0,20000,-93.0,10.7144761887831,0.0010595212138068,0.6720278685092926,20000,True,False,Automatic stopping
0,21000,-95.8,18.925115587493774,0.0010992014468502,0.6791676712483168,20999,True,False,Automatic stopping
0,22000,-257.8,198.03474442632532,0.0010859054809116,0.6663380308896303,21999,True,False,Automatic stopping
0,23000,-131.8,110.81768811881972,0.0011800010418228,0.6138421765118838,22999,True,False,Automatic stopping
0,24000,-85.4,16.41462762294655,0.0010417647947324,0.6902798551768065,23999,True,False,Automatic stopping
0,25000,-83.4,10.384603988597735,0.0010897781376988,0.7148607294857502,24998,True,False,Automatic stopping
0,26000,-88.8,12.874781551544864,0.0018419658291459,0.6127580501586198,25998,True,False,Automatic stopping
0,27000,-97.4,29.789931184881915,0.0008448220575519,0.6005032045990228,26998,True,False,Automatic stopping
0,28000,-252.6,202.02237499841448,0.000879669275775,0.5833292761296034,27998,True,False,Automatic stopping
0,29000,-419.2,161.6,0.0008614281015761,0.541793846398592,28998,True,False,Automatic stopping
0,30000,-97.8,35.941062866865806,0.0011320603990243,0.4451792358905077,29998,True,False,Automatic stopping
0,1000,-500.0,0.0,0.0067846666179248,1.0984971219301225,1000,False,False,Fixed budget
0,2000,-500.0,0.0,0.0040667978135024,1.092840451002121,2000,False,False,Fixed budget
0,3000,-500.0,0.0,0.0016919638733088,1.0927387411594391,3000,False,False,Fixed budget
0,4000,-429.6,140.8,0.0027469711007579,1.0837231993675231,4000,False,False,Fixed budget
0,5000,-160.0,22.154006409676786,0.0032669711115886,1.07171024787426,5000,False,False,Fixed budget
0,6000,-152.6,26.12738027434056,0.0021131374289034,1.0357418032288552,6000,False,False,Fixed budget
0,7000,-304.8,165.20823224040623,0.0017113603018224,0.9986090524792672,7000,False,False,Fixed budget
0,8000,-221.6,139.31633070103447,0.0016111238045559,0.9601220288872718,8000,False,False,Fixed budget
0,9000,-159.0,11.436782764396638,0.001919864844458,0.967885159611702,9000,False,False,Fixed budget
0,10000,-364.6,165.86693461929053,0.0018188119957776,0.9299308121800424,10000,False,False,Fixed budget
