seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped
1,1000,91.4,45.53064901799666,0.002949405337196367,0.6907047265172005,996,True,False
1,2000,89.2,29.61351043020736,0.00030312451335703374,0.6721839750409127,1990,True,False
1,3000,113.0,57.19440532080039,0.0001819224692244461,0.6475798025429249,2984,True,False
1,4000,146.4,35.679686097273894,0.00019427246933810237,0.6358336510956287,3974,True,False
1,5000,280.0,63.72754506490894,0.00018644616485835285,0.6243043213486671,4960,True,False
1,6000,212.0,40.44749683231337,0.00022375957662461586,0.6156920492351056,5957,True,False
1,7000,401.4,22.276444958745103,0.00019870505418202812,0.6086905451118946,6946,True,False
1,8000,328.2,89.6111600192744,0.00014121035643393042,0.5950032747536897,7939,True,False
1,9000,314.4,96.13032820083367,0.00010552241656932893,0.589162892907858,8924,True,False
1,10000,368.4,67.03610967232511,0.00016448196018063754,0.5775792931765318,9917,True,False
1,11000,409.8,111.46730462337376,0.0001563280818372732,0.5794332454204559,10913,True,False
1,12000,262.0,48.315628941368445,0.00018017381410300004,0.5989073343276977,11902,True,False
1,13000,424.4,71.31507554507672,0.00011013669732983544,0.6012539640516043,12901,True,False
1,14000,479.4,41.2,0.0001156873427098617,0.5825638196468353,13893,True,True
