seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped
0,1000,70.4,6.6211781428987395,0.002962503232585732,0.6911716099977493,997,False,False
0,2000,139.8,52.83332281808518,0.00034970814213011183,0.6789316543340683,1992,False,False
0,3000,218.8,42.02570641880991,0.00017250393592712498,0.6482830372452736,2983,False,False
0,4000,227.8,102.04783192209426,0.00021564431032311405,0.6399534499645233,3971,False,False
0,5000,500.0,0.0,0.00020302110164084297,0.6338869923651218,4957,False,False
0,6000,266.8,65.29747315172311,0.0002767658820575889,0.616805625975132,5942,False,False
0,7000,500.0,0.0,0.00016476706704816025,0.6048778469711542,6935,False,False
0,8000,470.4,36.45051439966246,0.0001679527324386072,0.6077026777267456,7924,False,False
0,9000,352.6,119.64380468707938,0.00020437309770932188,0.5969698799103499,8921,False,False
0,10000,500.0,0.0,0.00012155694859120558,0.5992659991532564,9899,False,False
0,11000,381.2,96.53476057876769,0.00015050080613491446,0.5905397264510394,10896,False,False
0,12000,404.8,116.59571175647929,0.00011981684146485349,0.5861154524832964,11882,False,False
0,13000,500.0,0.0,9.265674663220124e-05,0.5851940108686685,12873,False,False
0,14000,286.8,92.25920008324373,6.935401502300919e-05,0.5832279618680477,13864,False,False
0,15000,378.2,106.34735539730173,0.00010749212392693152,0.5700857306867838,14852,False,False
0,16000,392.4,88.39140229682975,9.24503560534049e-05,0.5765128486901522,15847,False,False
0,17000,355.4,70.38067916694183,7.138209322192779e-05,0.5762026593014598,16837,False,False
0,18000,438.2,70.38295248140703,8.213527751854598e-05,0.5753227355778218,17831,False,False
0,19000,396.8,98.76517604905081,9.661425978583794e-05,0.5663974652588367,18817,False,False
0,20000,435.4,79.39672537327972,8.712986737828032e-05,0.565698325574398,19812,False,False
0,21000,459.2,81.60000000000001,0.00010299924800074222,0.5614712788090109,20794,False,False
0,22000,446.8,66.14348040434523,8.615104436103138e-05,0.5824246165305376,21780,False,False
0,23000,358.8,81.16008871360356,0.00010924731174736735,0.5918110967874527,22777,False,False
0,24000,497.2,5.6,9.643311108857233e-05,0.5969738384783267,23776,False,False
0,25000,426.6,75.05891019725773,0.00011993595199692209,0.5907063494175673,24769,False,False
0,26000,252.6,16.942254867637896,0.00010449947780034562,0.5868094685673714,25758,False,False
0,27000,376.6,71.34872108174049,0.00013459887348562917,0.5685063338875771,26751,False,False
0,28000,406.4,76.96648621315643,0.00010801793689370242,0.5619572990238667,27744,False,False
0,29000,315.4,18.704010265181104,0.00012462405577980462,0.5712664934694767,28734,False,False
0,30000,444.8,55.336787040810385,8.222063105449706e-05,0.5720125049948692,29726,False,False
