seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,auto_stop,stopped
2,1000,61.2,8.908422980528035,0.002138981912332383,0.6906482216119766,False,False
2,2000,52.4,13.047605144240073,0.00021082611130623263,0.6750562495589256,False,False
2,3000,101.4,72.55232594479656,0.00013647008924135663,0.6580636974871159,False,False
2,4000,93.2,17.52027397046062,0.00013742705542426847,0.6420619346201419,False,False
2,5000,103.0,52.43662841945504,0.00010605289738123247,0.622073995500803,False,False
2,6000,231.4,77.36562544179424,0.0001643311584807634,0.6142947392463685,False,False
2,7000,448.6,42.13122357587066,0.0001960273718141252,0.6128852144479752,False,False
2,8000,500.0,0.0,0.00018576093696765384,0.6067158768773079,False,False
2,9000,296.2,104.05652310162972,0.00020528627614839934,0.6033004330992698,False,False
2,10000,438.6,92.99376323173506,0.0001640737371881187,0.5971963294446468,False,False
2,11000,402.0,81.94876448122938,0.00013760769647683447,0.600242879897356,False,False
2,12000,297.6,33.505820389896435,0.00010724601618585438,0.5909339185953141,False,False
2,13000,168.8,25.372425977820882,0.00011936224856890476,0.5946547983884811,False,False
2,14000,500.0,0.0,0.00011829196231974492,0.5884170456230641,False,False
2,15000,500.0,0.0,0.00010380939911897258,0.5822367097139358,False,False
2,16000,460.2,50.28081144929942,0.00011865283773477131,0.5741957851201296,False,False
2,17000,500.0,0.0,9.605491037154934e-05,0.5732142438739538,False,False
2,18000,498.0,4.0,9.373275230200306e-05,0.5761426049768925,False,False
2,19000,413.8,82.70525980855147,0.00010637008075900667,0.5519563434123993,False,False
2,20000,381.2,97.85581229543803,7.352486591776141e-05,0.56842948782444,False,False
2,21000,285.4,95.13064700715537,8.040210597118858e-05,0.5665273591130972,False,False
2,22000,462.8,74.4,8.499631130689522e-05,0.5724798453077674,False,False
2,23000,500.0,0.0,0.00011224360519327092,0.5872307376265525,False,False
2,24000,304.2,45.91034741754847,8.549837783402836e-05,0.5857664983123541,False,False
2,25000,480.6,19.2,9.723447607802882e-05,0.5733778711408377,False,False
2,26000,500.0,0.0,8.496755907913211e-05,0.5705908233970404,False,False
2,27000,500.0,0.0,0.00011077288613705604,0.5834035151451826,False,False
2,28000,483.4,27.170572316386714,6.657203080521867e-05,0.5652052175551653,False,False
2,29000,441.8,49.76906669810074,5.874332886060074e-05,0.5784118845164776,False,False
2,30000,486.8,26.400000000000002,6.982262606516088e-05,0.5497080949097872,False,False
