rule,mean,std,min,max
combined,10333.333333333334,3214.5502536643185,8000,14000
entropy_only,3666.6666666666665,577.3502691896257,3000,4000
return_only,9666.666666666666,3785.938897200182,7000,14000
rnd_only,4666.666666666667,577.3502691896259,4000,5000
