seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped
0,1000,-500.0,0.0,0.006784666617924813,1.0984971219301223,1000,True,False
0,2000,-500.0,0.0,0.00406679781350249,1.092840451002121,2000,True,False
0,3000,-500.0,0.0,0.0016919638733088505,1.0927387411594391,3000,True,False
0,4000,-429.6,140.8,0.0027469711007579462,1.0837231993675231,4000,True,False
0,5000,-160.0,22.154006409676782,0.003266971111588646,1.07171024787426,5000,True,False
0,6000,-152.6,26.127380274340556,0.0021131374289034286,1.0357418032288552,6000,True,False
0,7000,-304.8,165.20823224040623,0.001711360301822424,0.9986090524792671,7000,True,False
0,8000,-221.6,139.31633070103447,0.001611123804555973,0.9601220288872718,8000,True,False
0,9000,-159.0,11.436782764396638,0.0019198648444580613,0.967885159611702,9000,True,False
0,10000,-364.6,165.86693461929053,0.0018188119957776507,0.9299308121800423,10000,True,False
0,11000,-203.4,148.82284770827363,0.001274762797227595,0.8741848548352719,11000,True,False
0,12000,-126.8,9.389355675444401,0.0016062469042808516,0.8646443293690681,12000,True,False
0,13000,-92.4,9.520504188329525,0.001622251966233307,0.8768623131811619,13000,True,False
0,14000,-252.0,202.76192936545067,0.001242265023443906,0.8329338849186897,14000,True,False
0,15000,-189.4,156.62643455049346,0.0010567685164060093,0.8115963217318058,15000,True,False
0,16000,-86.8,10.590561835898981,0.0021383274052204798,0.7929096487760544,16000,True,False
0,17000,-168.0,166.03975427589623,0.0012311181364930235,0.7153889033794403,17000,True,False
0,18000,-86.0,11.081516141756055,0.0013358349470508984,0.697215257331729,18000,True,False
0,19000,-105.6,21.443880245888337,0.0008803649969777325,0.7021738803386688,19000,True,False
0,20000,-93.0,10.714476188783099,0.0010595212138068747,0.6720278685092926,20000,True,False
0,21000,-95.8,18.925115587493778,0.001099201446850202,0.6791676712483168,20999,True,False
0,22000,-257.8,198.03474442632535,0.001085905480911606,0.6663380308896303,21999,True,False
0,23000,-131.8,110.81768811881973,0.001180001041822834,0.6138421765118838,22999,True,False
0,24000,-85.4,16.41462762294655,0.001041764794732444,0.6902798551768065,23999,True,False
0,25000,-83.4,10.384603988597735,0.001089778137698886,0.7148607294857502,24998,True,False
0,26000,-88.8,12.874781551544865,0.00184196582914592,0.6127580501586198,25998,True,False
0,27000,-97.4,29.789931184881915,0.0008448220575519371,0.6005032045990228,26998,True,False
0,28000,-252.6,202.02237499841448,0.0008796692757750862,0.5833292761296034,27998,True,False
0,29000,-419.2,161.6,0.0008614281015761662,0.541793846398592,28998,True,False
0,30000,-97.8,35.941062866865806,0.0011320603990243399,0.4451792358905077,29998,True,False
